,Dis,Gen
1,4.804358800252278,-4.294072769635241
2,1.1006894619110599,-1.9133567152172326
3,1.1124084790547688,-3.009130606651306
4,0.7705846560528,-4.324738476276398
5,0.5749099685485104,-3.7723329043388367
6,0.36743344360566044,-2.771088877916336
7,0.026202105135324012,-2.426025834083557
8,-0.3650084930251401,-2.2022225308418273
9,-0.5640926217458334,-1.8568323004245757
10,-1.148508665552101,-0.6875528356805444
11,-0.7539979856177027,-1.7735680685937405
12,-0.6657799238181976,-2.08324962221086
13,-0.7844897398508217,-1.5972967649996281
14,-0.9264590462527601,-0.5429368231073022
15,-0.9719618688146752,-1.1528631108999252
16,-0.9925363465964075,-1.054966535270214
17,-1.3149718194601525,-0.8720162201672792
18,-1.4058162390467632,-0.9155830434430391
19,-1.2133383521114487,-0.8410954673588276
20,-1.6821384171405471,-0.11994403649121523
21,-1.2593942330065502,-1.0888238477706909
22,-0.8272614163088511,-1.2355141994357108
23,-0.676460414526453,-0.7441521740471945
24,-0.857736426663686,-0.773087120950222
25,-0.9012431016408775,-0.38129493065178394
26,-1.1346782067693382,-0.338790010586381
27,-1.2115467600075596,-0.5518586938548833
28,-0.9332562440849212,-0.5727978578209877
29,-1.1153897894434182,-0.5235007037967443
30,-1.485855548736082,-0.5568219070881605
31,-1.5807176804446792,-0.23812974900007247
32,-1.5688352029486354,-0.5691997103393078
33,-1.4278251923710468,-0.5680830170214176
34,-1.4729141767723972,-0.5114093141257763
35,-1.3162191756757866,-0.5921358243469149
36,-1.194469478714418,-0.5467784361541271
37,-1.2653519590216946,-0.5144117372110486
38,-0.9180977497713633,-0.49507433533668516
39,-1.1717488622090904,-0.5103706736117601
40,-1.1361204438420185,-0.48166523039340975
41,-0.9693586510348032,-0.7174245088174939
42,-1.1892264703191429,-0.5303784595429897
43,-1.1694813492786453,-0.5558145837858319
44,-1.1036187415142136,-0.6675279270112514
45,-1.0958968989820366,-0.4505996072664857
46,-1.1419331893384697,-0.8314003000408411
47,-1.0425737813773404,-0.7699444208014756
48,-1.004389826073704,-0.7997716485708952
49,-1.0040756181540738,-0.69126823913306
50,-0.8719902718402296,-0.7496658427268267
51,-0.9437405182175846,-0.9416618019342422
52,-0.8647531917296261,-0.8091939803212881
53,-0.9177379177277347,-0.5460569475707598
54,-0.9427832915601002,-0.5799806673638522
55,-0.8255593776702881,-0.6511037849634885
56,-0.8999691909575558,-0.6948404748737812
57,-0.9572591810341341,-0.6471134305000306
58,-0.7666898319520146,-0.7115997493267059
59,-0.7234581206218306,-0.6771033714152872
60,-0.761350946732793,-0.8081441401317716
61,-0.6676936886875505,-0.845780690163374
62,-0.5952234584164907,-0.706678844280541
63,-0.6078975267678379,-0.9108549658581615
64,-0.5770077025555224,-0.8198351396620274
65,-0.6208143473629013,-0.8584819368761964
66,-0.666175847072678,-0.7186068856716156
67,-0.7169992071557715,-1.0514384048432113
68,-0.5919846100022036,-0.8861398615781217
69,-0.5493697966916494,-0.6879056625068187
70,-0.4831376047019499,-0.7253107486106455
71,-0.5022707243999803,-0.847132389638573
72,-0.3849849203025481,-0.9182240046560765
73,-0.40982922779987135,-0.5547250354290009
74,-0.44250058553305016,-0.6651316705718636
75,-0.4246846719918002,-0.8022867786884308
76,-0.4438650713388221,-0.7445912348479032
77,-0.3980475142298932,-0.7420393491536379
78,-0.4104386046229596,-0.7670534795150161
79,-0.40545797156521596,-0.7412471269723028
80,-0.34576491083964767,-0.8814569146744907
81,-0.2707402552945547,-0.6433879826962948
82,-0.3545788387696906,-0.7548081688955426
83,-0.3072353041315653,-0.6675474623031914
84,-0.3686152959923189,-0.6786122617125511
85,-0.3391189019842799,-0.49012371910735963
86,-0.3271909305848271,-0.4584848053753376
87,-0.3388630453362522,-0.614899020716548
88,-0.27733379961496374,-0.5189750380814075
89,-0.30622698791534547,-0.5633737634494901
90,-0.23040198992533856,-0.6575077511370182
91,-0.24483198238663884,-0.30497520982986315
92,-0.26784145113933516,-0.45925912965089083
93,-0.23328760924588246,-0.44709138579666613
94,-0.21168842947626687,-0.41759310349822043
95,-0.1901975616393798,-0.28344748251140117
96,-0.22631595412411365,-0.4520323740504682
97,-0.25253434162063293,-0.3780849630385637
98,-0.2617499014459939,-0.32849580522626637
99,-0.1569747034325657,-0.2553001614660025
100,-0.24400170739874782,-0.4252507992088795
101,-0.23510405528976255,-0.23431381180882455
102,-0.18806726386748165,-0.2748024056851864
103,-0.1773228865550704,-0.30294112451374533
104,-0.15433484004683284,-0.38980277568101884
105,-0.14842351469170137,-0.38970525475684553
106,-0.14845090218815937,-0.18536274269223213
107,-0.141712655982818,-0.17574454372748732
108,-0.15300789032595224,-0.3484781792759895
109,-0.1253232898482357,-0.17301311371382325
110,-0.1196192890764719,-0.4278631196450442
111,-0.044644800055936636,-0.2065617282129824
112,-0.07246008551264384,-0.14062006182968617
113,-0.039618185725078046,-0.21831552234478294
114,0.03277811850888662,-0.09870011001825332
115,-0.056303235900449944,-0.20999934185296298
116,-0.11185305951589561,-0.04549840055406094
117,-0.043335236698748114,-0.37857054844498633
118,-0.10035651467411394,-0.13759517963975668
119,-0.10305738688472763,-0.2058434358984232
120,-0.05115300201507936,-0.29452752839773894
121,-0.11356924432348535,-0.16557662020088174
122,-0.07165601741836732,-0.19204462949186563
123,-0.03478355867316924,-0.260206529982388
124,-0.020539590153828204,-0.19002847642637788
125,-0.09768114128265994,-0.14469427913427352
126,-0.07130241202542102,-0.30763169199228285
127,-0.02888275054563959,-0.1788223554752767
128,-0.011164839487956709,-0.06197278061416
129,0.008293812533459032,-0.011617001742124558
130,0.023081197317345554,-0.20840474866330624
131,0.04189240405837216,-0.06615265518426895
132,0.0217127120159716,-0.10448803700506687
133,0.04606559477656721,-0.0943415142223239
134,0.025909090616616857,-0.052390005290508274
135,0.054983416714342724,-0.09625277770683169
136,0.009638048080076655,-0.0938739837706089
137,-0.008774260440504694,-0.010770531855523586
138,0.03443263860112692,-0.20636105544865133
139,0.033229385035105016,0.033375251789111646
140,0.03192127086072562,-0.3043937323242426
141,0.06391597560131886,0.1971336802095175
142,0.12764304708764257,-0.07225176576524973
143,0.06879134925015001,-0.18047422159463167
144,0.07500117179380364,0.005472813062369824
145,0.13084824449087243,0.07958797134459018
146,0.07325083663664668,-0.16535616015549748
147,0.0724599112468551,-0.02272913506254554
148,0.051311107045675375,0.18415901329368353
149,0.10034441277683978,0.012726938053965568
150,0.08055493534808178,-0.22641601361334324
151,0.16630600063676337,0.07942653832491488
152,0.17032329911687766,-0.09118521766969934
153,0.13407171107679006,-0.10018746830523013
154,0.14194834088704672,-0.03436672449111938
155,0.18052573807268257,0.07178427893668413
156,0.15982078692041726,0.041075683385133746
157,0.1892591959022614,0.07270370457321405
158,0.16907610759198904,-0.02822083919076249
159,0.18587461628588328,-0.0989057473372668
160,0.21172280148808736,-0.18576128885149956
161,0.2080214961944335,-0.006882723122835159
162,0.166289479856989,-0.024213734231889248
163,0.1725488752725134,0.007475637942552567
164,0.2217196877222942,0.05236584283411503
165,0.21622711443996812,-0.09211053878068924
166,0.20778306421027126,0.011343572959303857
167,0.20432960843465414,-0.015522121763788164
168,0.21224752774679037,0.044049860313534736
169,0.18522622977873407,0.17253231797367335
170,0.21390637767362786,-0.13487017145380378
171,0.17880804758952804,0.05431941826827824
172,0.18608935291029843,0.07976920774526661
173,0.24086830893673572,-0.005911777578294277
174,0.2072670871474178,0.05740712732076645
175,0.19098473456968745,0.009079717993736268
176,0.2245546852249697,0.02942228059284389
177,0.18288842166762753,0.03613831792026758
178,0.24305966388748354,0.06697951570153236
179,0.24878946269851132,0.07672678291797638
180,0.2734534079770008,-0.07810718700289726
181,0.28533983996594287,0.1911828786507249
182,0.2810105635937917,0.13128675684332847
183,0.2984436774349596,-0.010603904873132706
184,0.25805596175442735,0.03556379832327366
185,0.2869990025179453,0.019428127612918615
186,0.3023993868425668,-0.11017546910792589
187,0.30979938104928256,0.036783906444907186
188,0.33296260297537805,0.14858139630407094
189,0.27751972876399394,-0.08322801811620593
190,0.34757501628982973,-0.13182307168841362
191,0.32384453528377427,0.10306116737425328
192,0.3109508101719929,0.012746286019682885
193,0.29775565312090646,0.09625274818390608
194,0.333884989880175,0.1352412523329258
195,0.35384302445683613,0.009020838066935538
196,0.3276141245202367,0.21662223914638162
197,0.3100029024254366,0.10284444063901901
198,0.3426823544215007,0.12411203004419803
199,0.29836989502351446,0.14330817675683646
200,0.3319612344106038,-0.049705938370898366
201,0.3569582791692282,0.2261898695677519
202,0.31908049928136617,0.21846104320138693
203,0.19589571876219478,0.1656276306277141
204,0.20307994750608882,0.21017599001526832
205,0.1781376265138986,0.10042536363005639
206,0.17484604498468728,0.13317876283079386
207,0.1565306234551242,0.08959375680424272
208,0.1373751383708663,0.007682653516530991
209,0.13057456533592868,0.07962895138189197
210,0.11619218573512802,0.013045412600040435
211,0.1125045358895298,0.07888671923428774
212,0.08144332175273972,0.16655742431990803
213,0.09329548705533805,0.23788105332641862
214,0.16681113300553288,-0.00164453299716115
215,0.2078992726812401,0.018049201481044292
216,0.23122066139696112,0.054781708791852
217,0.18365526103590388,0.18607471100986003
218,0.14395034073825821,0.26653876565396784
219,0.13224581446513595,0.2015604023868218
220,0.15904440219143787,0.045599707886576656
221,0.13408579692304373,0.33425360079854727
222,0.18823996605164556,0.18461003493517636
223,0.44409381481538335,0.07771289967000485
224,0.4425974040625086,0.32016546711325644
225,0.43340854137298096,0.17340983521193265
226,0.4020724018893567,0.155044358484447
227,0.42166308897087373,0.12036898609250785
228,0.39454579449082955,0.2606182793341577
229,0.3357448989607723,0.2588264634087682
230,0.38507163955504636,-0.16097738835960626
231,0.32143375097987165,0.20560663153417408
232,0.36342396410593547,0.18150839769630692
233,0.3519918832434229,0.21900670498609542
234,0.36293208599090576,0.26097420894540846
235,0.34253691621573573,0.13088857032358647
236,0.34981699018593293,0.17990031512454152
237,0.3267417897182296,0.14097653553821146
238,0.30127662731461735,0.23810300029814244
239,0.33425716559092206,0.03621057495474815
240,0.32094665607774114,0.033637906769290564
241,0.305528238116498,0.12433145157992839
242,0.2968772472626713,0.08820082537829876
243,0.3143108819861967,0.2876820819498971
244,0.3380136030266084,0.19943548016250134
245,0.3041078450689354,0.13043033696711062
246,0.3015340983149517,0.15812509406590836
247,0.28375315331072215,0.12338727165013552
248,0.3158802502605331,0.07287686217576266
249,0.27640464698454464,-0.0874369345139712
250,0.3394156536424016,-0.07088883332908154
251,0.3392168249949873,0.2864747528359294
252,0.30325115588774165,0.24792633777018636
253,0.30391791690305536,0.09029731340706348
254,0.2762188619399166,0.11298571981023997
255,0.3131254561933648,0.13423059960827233
256,0.29584332163554117,0.06911987900733947
257,0.3447758040753713,0.1989058115077205
258,0.3253312742853739,0.24787742378190158
259,0.3162913533099684,0.06821881323354319
260,0.328989998403802,0.08451877504587174
261,0.2959289742282117,0.10986915132030844
262,0.30979859541697674,0.15796420238912107
263,0.3238741935017597,0.3080257702618837
264,0.2578126359656154,0.13803218558430672
265,0.28856800694063484,0.05787948776036501
266,0.2503663263167722,0.11574919994920492
267,0.3053335626441312,0.05420794108882546
268,0.286630495485053,0.055348681192845105
269,0.3006871234939759,0.17056176215410232
270,0.2986468948034876,0.017752609122544526
271,0.2801963512198513,0.2596818955615163
272,0.31211604076216976,0.24942848097532988
273,0.3320416264744648,0.30565442323684694
274,0.2682449597431474,0.15753723966889083
275,0.36733391055141584,0.15479875120334327
276,0.29536215224898005,0.11483045141212642
277,0.34598631935426033,0.13576167896389962
278,0.4048105794263173,0.1506382512394339
279,0.3757732910324771,0.08852613152936101
280,0.2936740055620431,0.12063544426113366
281,0.42937445353312664,0.2652948186453432
282,0.3480746956714186,0.15361342072486878
283,0.3217588868964628,0.18627561637433246
284,0.3256923094331979,0.08285036575049162
285,0.2871819993099534,0.11513651955872774
286,0.27298109167550944,0.21323964664712547
287,0.24644688094954892,0.11997970532625914
288,0.3129174072579686,0.1832112007588148
289,0.20053223673119602,0.05321757083176635
290,0.27359600287364666,-0.024734191335737704
291,0.16892213227758446,0.08691487332107499
292,0.11864539944981954,0.03834599080495536
293,0.055313350206398104,0.11227588899433613
294,0.12817171060416593,0.06152454977855086
295,0.21160146749642,0.1344044823711738
296,0.38600560364474257,0.0705017020367086
297,0.4067375659942627,0.10068057618103922
298,0.3999416837730561,0.15279973799362778
299,0.37911539958662777,0.19197392780333758
300,0.3635020730007126,-0.08708427991718054
301,0.3634387039276491,0.25420692794024946
302,0.29346177376896504,0.12912876347545535
303,0.34727916707954254,0.16492512916214763
304,0.39658825895393707,-0.014267513453960419
305,0.3568334119865693,0.12725885562598704
306,0.3520832942671565,0.20704174590762706
307,0.36703084080094794,0.16231490030884743
308,0.34431394611496524,0.12837617807090282
309,0.33656925561437645,0.10261139381676912
310,0.296762718733056,0.29950399707071484
311,0.3587651281471712,0.20446192828938364
312,0.4166177439402385,0.16087422996759415
313,0.377798281520246,0.24325102604925633
314,0.3545034965836858,0.14532850204966963
315,0.3765993147011263,0.057495745606720446
316,0.3383995059982361,0.11395559459924698
317,0.35616165902241165,0.06673875339329242
318,0.33676298555121364,0.13604904496110976
319,0.35081622590980377,0.19119415852241217
320,0.33754417934570924,-0.07155894549563527
321,0.4536294372206232,0.10689392908476293
322,0.3668884484164686,0.153011287888512
323,0.3374046125565188,0.07328114586882294
324,0.3858866255924884,0.10965334601700306
325,0.3926375094187786,0.17285949125885963
326,0.3165296914587059,0.2623348499462008
327,0.3451644617869672,0.17316838018596173
328,0.30297241201362457,0.17160774201154708
329,0.328020212640724,0.19446434939280152
330,0.33950675491348326,0.13085890017449855
331,0.38624878485040015,0.1641236864775419
332,0.3538013720608141,0.246606622710824
333,0.3635925289138733,0.15570540800690652
334,0.36297471073257875,0.23651971340179442
335,0.4264633880561614,0.15448090711608528
336,0.3575693713613303,0.20416626621037723
337,0.3530494209274231,0.17203049894422293
338,0.35460722829443386,0.19458769434364512
339,0.31146769734271557,0.1598684934899211
340,0.2919541798442243,0.02289422243833542
341,0.3691641800853622,0.20555575225502254
342,0.3747907584929562,0.05084651455283165
343,0.3562965349978711,0.1220469656214118
344,0.38816227204349624,0.1570458290539682
345,0.3476331875506175,0.13864518529735506
346,0.35633084094189255,0.009943860843777656
347,0.3539589250901617,0.28632842790335417
348,0.29992838556986734,0.1439980211853981
349,0.3412161074488996,0.11794149570167065
350,0.2894995729607272,-0.014794112294912337
351,0.3145279994451377,0.343623050134629
352,0.35382962897120707,0.11804757330566645
353,0.3329429391876282,0.15800183244049548
354,0.3807344000981036,0.11631896454840898
355,0.3445382731027871,0.22970750208944082
356,0.3322732616141139,0.2398375097848475
357,0.3498799791297759,0.0865338784083724
358,0.3267458954968127,0.017703428105451165
359,0.337352644008805,0.2791403724625707
360,0.29741815725962323,0.20983019202947617
361,0.3234157638856206,0.2679755000397563
362,0.3069086314205185,0.2527348814159632
363,0.3048114029757948,0.1567849007062614
364,0.3079252118566429,0.19255303137004376
365,0.3436527797974736,0.1595147887337953
366,0.3082427140699333,0.2200689166318625
367,0.31791650961680584,0.2134111452102661
368,0.3289335846422188,0.14655216851737352
369,0.2956391453264229,0.1689608070254326
370,0.2629600198393366,-0.11348096064757555
371,0.298614085917492,0.2639403376355767
372,0.3367456978104679,0.16571466352790595
373,0.3397204311018488,0.3177829469880089
374,0.3393634078971832,0.14280382497236133
375,0.3232819162698156,0.09378495333716273
376,0.36091685773857146,0.27632291736081244
377,0.3422374643953929,0.2106463329307735
378,0.3300495803595547,0.0970157591998577
379,0.3030813630804958,0.17286870039999486
380,0.2447428478294587,0.05317631294950843
381,0.3369106695833934,0.21503442246466875
382,0.3391030289561873,0.2611596757918596
383,0.2974481218789955,0.16632670193910598
384,0.31336619911423647,0.11628480274230242
385,0.30838735036581877,0.08981753215193748
386,0.31348192356676463,0.23306627899408341
387,0.29506709250101604,0.1036997517477721
388,0.29647723019841205,0.18842199087142944
389,0.30450443091641466,0.241911694817245
390,0.33816739785144606,-0.017420242950320245
391,0.3764392295515681,0.23091634653508664
392,0.3478553927088358,0.051315833711996675
393,0.3342644478901323,0.07100099805742502
394,0.33001817086614277,0.10405252516269684
395,0.410969207564511,0.08382421962916851
396,0.31218463014886083,0.1588228007219732
397,0.34991612108835735,0.20753230934031308
398,0.34840105575730046,0.2193164137285203
399,0.30853152227210234,0.13572783306241035
400,0.29354185751643047,-0.01995099402964115
